ID,Annual.Salary,Job,refid,Applicant,Market,Experience,Hire.Date,2014.Performance,2015.Performance
435,98154,sr. analyst,,0,'New Orleans',3,2/15/2015,3,5
436,53150,programmer 2,,0,'New Orleans',2,2/20/2013,4,3
437,38234,programmer 1,,0,'New Orleans',2,2/12/2014,3,0
438,87328,sr. analyst,750,1,'New York',3,1/25/2013,4,1
439,48913,programmer 1,,0,'San Fran',4,6/30/2014,5,0
440,61513,analyst,580,1,'San Fran',4,12/26/2014,0,3
441,72592,analyst,23,1,'Orlando',1,5/9/2013,2,1
442,48925,programmer 1,237,1,'San Fran',4,10/2/2013,5,2
443,59855,programmer 2,,0,'San Fran',6,3/1/2013,2,4
444,39809,programmer 1,,0,'New York',2,1/23/2014,5,1
445,65361,analyst,,0,'New York',2,6/20/2015,0,5
446,105093,director,888,1,'Orlando',2,5/12/2014,0,0
447,85870,sr. analyst,148,1,'San Fran',6,9/9/2013,0,2
448,109488,director,,0,'San Fran',1,2/26/2015,2,1
449,50480,programmer 2,744,1,'San Fran',3,12/29/2014,2,1
450,30188,programmer 1,,0,'San Fran',4,1/7/2013,5,5
451,88495,sr. analyst,,0,'New York',6,3/12/2013,3,5
452,106753,director,312,1,'New York',1,5/16/2013,4,3
453,46659,programmer 1,,0,'New York',2,2/17/2015,0,5
454,46330,programmer 1,,0,'Orlando',5,10/23/2013,3,3
455,74490,analyst,679,1,'Orlando',4,3/17/2015,4,2
456,96493,sr. analyst,,0,'San Fran',6,9/29/2014,3,5
457,82132,sr. analyst,,0,'New Orleans',1,4/25/2015,3,0
458,24794,office worker,,0,'New Orleans',1,8/18/2014,1,3
459,38263,programmer 1,,0,'New Orleans',2,9/19/2014,4,5
460,26721,office worker,325,1,'New York',4,4/20/2014,1,3
461,46886,programmer 1,,0,'New York',5,12/6/2015,5,1
462,108416,director,293,1,'Orlando',3,3/14/2014,5,4
463,23380,office worker,,0,'San Fran',1,9/23/2014,0,2
464,80200,sr. analyst,,0,'Orlando',2,10/14/2014,2,4
465,93799,sr. analyst,571,1,'Orlando',3,8/19/2014,5,5
466,87336,sr. analyst,,0,'New Orleans',6,4/14/2014,0,1
467,45425,programmer 1,234,1,'Orlando',6,10/10/2014,0,5
468,59273,programmer 2,,0,'San Fran',4,4/19/2015,1,4
469,103690,director,,0,'San Fran',2,4/2/2015,2,3
470,77477,analyst,276,1,'New Orleans',6,6/21/2014,2,1
471,29721,office worker,589,1,'New York',3,4/12/2015,2,1
472,107771,director,,0,'San Fran',6,10/2/2014,3,5
473,82121,sr. analyst,569,1,'San Fran',3,5/6/2013,1,0
474,108047,director,411,1,'New York',6,12/7/2015,1,0
475,62896,analyst,,0,'New York',4,7/17/2013,1,2
476,100518,director,914,1,'San Fran',6,2/2/2013,0,3
477,115398,director,,0,'San Fran',3,4/6/2014,1,2
478,78304,analyst,24,1,'Orlando',6,9/22/2015,1,0
479,105864,director,,0,'San Fran',5,4/2/2015,2,2
480,103832,director,233,1,'San Fran',3,5/9/2015,4,4
481,21878,office worker,,0,'Orlando',4,3/30/2013,4,1
482,113652,director,18,1,'New Orleans',2,1/30/2014,2,0
483,58063,programmer 2,802,1,'New Orleans',2,1/1/2013,1,5
484,90757,sr. analyst,178,1,'New York',6,5/28/2013,4,3
485,95348,sr. analyst,,0,'Orlando',4,9/1/2014,1,2
486,113007,director,251,1,'Orlando',2,10/11/2013,3,5
487,67066,analyst,,0,'Orlando',2,6/29/2015,4,5
488,101504,director,,0,'New York',2,3/8/2013,1,5
489,112375,director,25,1,'San Fran',3,11/30/2014,5,2
490,45404,programmer 1,,0,'San Fran',3,8/11/2015,3,2
491,56483,programmer 2,,0,'Orlando',1,4/9/2014,3,1
492,29290,office worker,,0,'New Orleans',2,1/2/2014,3,5
493,82044,sr. analyst,,0,'San Fran',1,6/9/2014,0,4
494,37747,programmer 1,,0,'San Fran',4,8/1/2015,1,1
495,115809,director,,0,'New York',4,4/21/2015,5,2
496,54019,programmer 2,848,1,'Orlando',5,2/14/2013,2,0
497,109044,director,,0,'New York',2,4/20/2014,4,2
498,109205,director,,0,'Orlando',4,1/13/2014,4,1
499,83505,sr. analyst,,0,'Orlando',3,9/3/2015,5,0
500,69297,analyst,,0,'New Orleans',3,9/24/2014,4,1
501,105772,director,561,1,'New York',3,12/18/2013,3,1
502,66769,analyst,846,1,'New Orleans',6,11/24/2015,2,3
503,20708,office worker,642,1,'Orlando',4,5/20/2014,3,2
504,110861,director,,0,'Orlando',3,3/28/2015,5,2
505,30602,programmer 1,389,1,'New York',3,10/3/2015,1,2
506,86795,sr. analyst,,0,'San Fran',2,7/24/2014,0,3
507,86190,sr. analyst,190,1,'New Orleans',6,4/21/2015,1,0
508,29280,office worker,,0,'Orlando',5,1/31/2014,1,1
509,27090,office worker,,0,'New Orleans',2,9/12/2014,2,3
510,103505,director,,0,'New Orleans',5,3/25/2013,3,1
511,96523,sr. analyst,,0,'New Orleans',2,11/18/2013,3,0
512,51237,programmer 2,,0,'New Orleans',3,1/31/2014,2,1
513,36143,programmer 1,,0,'San Fran',3,10/9/2014,5,3
514,91196,sr. analyst,69,1,'New Orleans',6,7/8/2014,1,1
515,67981,analyst,,0,'New Orleans',5,5/20/2014,0,1
516,100857,director,,0,'New Orleans',4,9/23/2013,4,0
517,95383,sr. analyst,,0,'New Orleans',5,1/25/2013,5,1
518,74055,analyst,,0,'New Orleans',6,11/20/2015,5,4
519,109967,director,,0,'Orlando',6,4/8/2015,3,2
520,111596,director,,0,'New York',6,9/7/2015,3,2
521,38278,programmer 1,3,1,'New Orleans',6,9/19/2015,4,2
522,118728,director,,0,'New York',5,11/14/2014,2,0
523,78616,analyst,,0,'New York',6,12/27/2014,0,5
524,62054,analyst,248,1,'San Fran',6,11/20/2014,1,0
525,111344,director,,0,'New Orleans',2,4/21/2013,0,2
526,50494,programmer 2,,0,'San Fran',1,6/1/2014,5,1
527,80002,sr. analyst,,0,'Orlando',1,4/12/2013,2,4
528,84872,sr. analyst,148,1,'Orlando',6,4/21/2013,1,1
529,56684,programmer 2,,0,'New Orleans',1,8/18/2014,0,3
530,23279,office worker,,0,'New Orleans',2,7/18/2015,5,1
531,95366,sr. analyst,,0,'New York',2,6/16/2015,0,3
532,32120,programmer 1,462,1,'San Fran',1,8/6/2014,4,1
533,99434,sr. analyst,,0,'San Fran',5,5/16/2013,5,3
534,55092,programmer 2,113,1,'New York',4,5/30/2013,2,0
535,112835,director,,0,'Orlando',4,2/10/2015,5,2
536,95543,sr. analyst,854,1,'San Fran',1,11/14/2015,5,3
537,30382,programmer 1,459,1,'San Fran',3,2/11/2015,2,3
538,91258,sr. analyst,,0,'San Fran',3,5/30/2013,4,2
539,40096,programmer 1,,0,'Orlando',6,7/19/2015,5,2
540,83248,sr. analyst,42,1,'San Fran',3,3/31/2013,0,4
541,51576,programmer 2,429,1,'New York',4,10/29/2014,1,3
542,95921,sr. analyst,,0,'New York',3,11/27/2013,0,1
543,74167,analyst,,0,'San Fran',2,7/16/2013,1,1
544,66465,analyst,,0,'New Orleans',2,3/22/2014,1,1
545,39366,programmer 1,,0,'Orlando',4,4/19/2014,0,1
546,61447,analyst,,0,'San Fran',1,1/7/2013,4,2
547,53631,programmer 2,538,1,'New Orleans',2,1/13/2015,1,5
548,78388,analyst,841,1,'New Orleans',6,11/10/2014,1,3
549,66805,analyst,288,1,'New Orleans',6,9/16/2014,5,0
550,52986,programmer 2,,0,'Orlando',5,9/20/2013,1,3
551,33204,programmer 1,64,1,'New York',4,4/30/2013,4,2
552,80711,sr. analyst,,0,'San Fran',2,5/13/2014,4,1
553,78519,analyst,241,1,'New Orleans',5,5/9/2014,4,2
554,67235,analyst,,0,'New Orleans',3,2/4/2015,2,4
555,119824,director,,0,'New York',5,9/21/2013,4,5
556,65984,analyst,,0,'San Fran',3,7/10/2015,2,0
557,74305,analyst,,0,'New York',5,6/18/2013,2,4
558,61109,analyst,,0,'San Fran',2,1/31/2015,0,3
559,47967,programmer 1,,0,'New Orleans',3,8/16/2013,1,0
560,62493,analyst,484,1,'New York',4,5/25/2015,1,1
561,112210,director,792,1,'San Fran',5,9/8/2014,5,5
562,25593,office worker,25,1,'San Fran',2,4/23/2014,4,0
563,50681,programmer 2,,0,'New York',4,10/16/2013,0,2
564,54702,programmer 2,,0,'New Orleans',3,12/25/2013,3,1
565,37197,programmer 1,83,1,'New Orleans',4,5/17/2013,4,5
566,62984,analyst,,0,'New York',5,7/1/2014,3,2
567,119189,director,,0,'San Fran',3,3/31/2014,1,5
568,110981,director,394,1,'San Fran',4,3/18/2013,3,2
569,86802,sr. analyst,,0,'New York',2,12/10/2015,3,2
570,36604,programmer 1,483,1,'San Fran',1,2/20/2015,3,4
571,83617,sr. analyst,,0,'Orlando',4,3/9/2013,0,5
572,62458,analyst,219,1,'New Orleans',1,8/22/2015,3,2
573,31302,programmer 1,,0,'New York',3,7/31/2015,4,4
574,36452,programmer 1,,0,'San Fran',3,9/4/2013,4,3
575,67633,analyst,,0,'San Fran',2,5/2/2013,3,1
576,118327,director,650,1,'San Fran',4,10/9/2014,5,0
577,64937,analyst,,0,'New Orleans',1,6/4/2013,4,5
578,84032,sr. analyst,468,1,'San Fran',5,11/28/2013,3,0
579,40620,programmer 1,,0,'Orlando',6,4/17/2013,5,0
580,55026,programmer 2,,0,'New York',4,11/10/2014,3,5
581,109229,director,,0,'Orlando',1,8/28/2014,3,0
582,70858,analyst,614,1,'Orlando',1,12/22/2014,0,4
583,77716,analyst,,0,'New York',2,10/19/2014,3,5
584,35743,programmer 1,,0,'Orlando',6,4/7/2013,1,4
585,24486,office worker,554,1,'Orlando',3,10/24/2014,4,2
586,85185,sr. analyst,,0,'New York',4,1/17/2014,3,3
587,42417,programmer 1,829,1,'San Fran',2,1/29/2014,0,0
588,109293,director,547,1,'San Fran',6,4/4/2013,1,2
589,32269,programmer 1,,0,'San Fran',1,11/11/2013,5,0
590,35951,programmer 1,,0,'New York',4,10/13/2015,4,3
591,64908,analyst,804,1,'New Orleans',5,2/14/2015,5,3
592,81327,sr. analyst,,0,'San Fran',4,1/24/2014,1,2
593,43029,programmer 1,269,1,'San Fran',2,5/19/2015,4,2
594,36155,programmer 1,417,1,'Orlando',2,9/20/2013,5,5
595,99446,sr. analyst,285,1,'New Orleans',2,9/17/2013,3,0
596,111875,director,,0,'San Fran',5,9/1/2013,0,5
597,102569,director,591,1,'New York',4,6/19/2014,4,1
598,109502,director,477,1,'New York',2,8/31/2013,2,0
599,58344,programmer 2,617,1,'New York',4,4/30/2013,4,3
600,52565,programmer 2,,0,'San Fran',1,9/16/2013,0,0
601,46906,programmer 1,,0,'New York',1,9/12/2013,1,5
602,118395,director,,0,'New York',3,3/9/2013,4,1
603,59961,programmer 2,,0,'New York',5,6/14/2014,3,3
604,61834,analyst,407,1,'New Orleans',4,2/22/2014,5,5
605,35711,programmer 1,182,1,'New Orleans',5,1/5/2013,2,0
606,36236,programmer 1,,0,'San Fran',4,7/12/2014,3,3
607,91877,sr. analyst,,0,'Orlando',5,7/1/2013,5,5
608,58793,programmer 2,882,1,'New York',4,1/1/2013,4,2
609,97667,sr. analyst,933,1,'Orlando',3,11/13/2013,1,2
610,94177,sr. analyst,,0,'San Fran',1,10/7/2014,0,4
611,53979,programmer 2,,0,'Orlando',6,8/2/2014,0,3
612,46441,programmer 1,,0,'New York',1,4/26/2013,3,2
613,44116,programmer 1,236,1,'New York',3,12/4/2014,3,2
614,93383,sr. analyst,,0,'San Fran',6,12/12/2013,4,2
615,101485,director,127,1,'San Fran',6,2/26/2013,2,2
616,53472,programmer 2,314,1,'New Orleans',3,4/26/2013,1,3
617,29191,office worker,,0,'New York',3,12/4/2013,2,0
618,106342,director,,0,'Orlando',6,11/17/2015,3,2
619,104577,director,660,1,'Orlando',1,11/25/2013,4,2
620,64645,analyst,,0,'New Orleans',5,4/16/2013,0,0
621,36892,programmer 1,332,1,'Orlando',2,9/7/2013,2,4
622,24772,office worker,101,1,'San Fran',4,10/10/2014,4,2
623,32582,programmer 1,449,1,'Orlando',1,6/24/2013,4,4
624,33496,programmer 1,571,1,'New York',2,2/26/2014,0,0
625,62418,analyst,,0,'San Fran',2,8/14/2013,4,5
626,65561,analyst,,0,'Orlando',4,12/21/2014,4,1
627,98174,sr. analyst,,0,'Orlando',6,1/21/2013,0,5
628,36462,programmer 1,,0,'New York',5,4/28/2015,2,4
629,117189,director,,0,'New Orleans',3,3/1/2013,2,5
630,79298,analyst,,0,'San Fran',4,1/17/2013,3,4
631,73538,analyst,,0,'New Orleans',4,12/1/2013,5,1
632,54620,programmer 2,,0,'San Fran',2,1/26/2014,2,4
633,70885,analyst,,0,'New York',6,4/11/2015,2,2
634,80182,sr. analyst,,0,'Orlando',1,10/28/2013,4,2
635,91946,sr. analyst,,0,'San Fran',5,2/24/2014,0,5
636,74572,analyst,,0,'Orlando',2,10/12/2014,5,4
637,60022,analyst,,0,'Orlando',4,7/23/2015,3,0
638,46114,programmer 1,607,1,'Orlando',3,7/20/2014,2,4
639,57192,programmer 2,,0,'San Fran',1,7/2/2015,2,0
640,85683,sr. analyst,,0,'San Fran',6,2/25/2015,4,2
641,78175,analyst,881,1,'Orlando',6,3/1/2014,2,4
642,84630,sr. analyst,597,1,'New York',2,9/24/2014,5,3
643,67938,analyst,,0,'New York',6,7/27/2013,5,4
644,111835,director,,0,'San Fran',4,5/26/2013,3,4
645,79975,analyst,,0,'New Orleans',4,8/2/2013,5,1
646,86108,sr. analyst,93,1,'Orlando',2,12/21/2014,1,2
647,37835,programmer 1,,0,'New Orleans',1,10/28/2014,2,3
648,75304,analyst,600,1,'Orlando',3,5/3/2015,0,2
649,88151,sr. analyst,,0,'Orlando',6,8/26/2013,2,2
650,70489,analyst,,0,'San Fran',2,10/28/2014,2,3
651,78438,analyst,,0,'New Orleans',5,11/27/2015,4,2
652,103034,director,,0,'New York',3,6/27/2014,0,0
653,100376,director,105,1,'New York',3,12/30/2013,5,5
654,21003,office worker,,0,'New York',5,10/26/2014,3,3
655,59545,programmer 2,,0,'New York',2,6/30/2014,0,4
656,118617,director,,0,'New York',3,6/3/2013,1,5
657,49817,programmer 1,443,1,'Orlando',5,7/11/2015,2,3
658,49759,programmer 1,,0,'Orlando',2,5/30/2014,3,1
659,39356,programmer 1,815,1,'New Orleans',3,5/7/2014,5,1
660,53834,programmer 2,,0,'Orlando',5,5/8/2015,1,2
661,47992,programmer 1,,0,'Orlando',1,3/12/2015,2,1
662,119675,director,346,1,'Orlando',1,3/8/2013,1,3
663,57411,programmer 2,262,1,'San Fran',4,2/4/2015,0,4
664,27260,office worker,,0,'Orlando',6,8/17/2013,5,1
665,71039,analyst,424,1,'Orlando',3,5/10/2013,2,0
666,49335,programmer 1,,0,'New York',2,9/21/2015,4,5
667,63891,analyst,,0,'Orlando',2,8/24/2013,3,3
668,55549,programmer 2,,0,'New Orleans',4,4/12/2014,0,4
669,36500,programmer 1,,0,'San Fran',1,11/29/2014,3,2
670,22360,office worker,203,1,'New Orleans',4,6/13/2013,4,2
671,30589,programmer 1,181,1,'New Orleans',1,2/15/2014,5,1
672,112012,director,292,1,'Orlando',2,3/8/2013,1,2
673,32036,programmer 1,,0,'Orlando',6,9/5/2015,3,1
674,78794,analyst,,0,'San Fran',6,1/13/2013,1,2
675,54042,programmer 2,,0,'San Fran',6,9/4/2015,4,5
676,118930,director,,0,'New Orleans',3,9/25/2014,3,5
677,72171,analyst,,0,'New Orleans',4,10/9/2015,3,4
678,26858,office worker,,0,'Orlando',1,4/1/2014,3,5
679,28830,office worker,105,1,'San Fran',3,6/7/2015,3,3
680,117479,director,,0,'Orlando',5,9/8/2013,0,4
681,66350,analyst,,0,'San Fran',1,6/29/2013,4,0
682,89253,sr. analyst,,0,'New York',1,12/8/2014,3,3
683,82710,sr. analyst,,0,'San Fran',2,5/9/2015,4,3
684,66836,analyst,717,1,'San Fran',5,12/19/2013,1,5
685,103065,director,,0,'San Fran',2,1/26/2013,1,0
686,94240,sr. analyst,886,1,'New Orleans',5,7/16/2014,1,4
687,28822,office worker,,0,'San Fran',6,3/17/2013,3,2
688,110470,director,,0,'New Orleans',5,7/17/2014,5,4
689,52532,programmer 2,129,1,'Orlando',2,8/24/2013,1,1
690,98747,sr. analyst,,0,'Orlando',1,6/27/2013,2,1
691,68792,analyst,,0,'Orlando',6,9/12/2014,3,2
692,80809,sr. analyst,,0,'San Fran',1,2/24/2014,1,0
693,109329,director,,0,'Orlando',1,8/26/2013,4,4
694,116821,director,579,1,'New Orleans',5,7/28/2013,0,0
695,114104,director,,0,'Orlando',1,4/18/2013,1,0
696,32018,programmer 1,160,1,'Orlando',6,1/31/2014,4,5
697,47556,programmer 1,994,1,'Orlando',3,12/31/2014,5,0
698,40291,programmer 1,,0,'New York',5,7/25/2015,5,1
699,61268,analyst,,0,'Orlando',4,4/17/2013,5,4
700,35653,programmer 1,28,1,'New York',4,9/20/2014,5,4
701,29126,office worker,173,1,'Orlando',4,8/23/2015,1,4
702,74591,analyst,,0,'Orlando',2,10/3/2013,0,2
703,101870,director,,0,'Orlando',5,1/23/2013,0,1
704,64597,analyst,,0,'San Fran',5,4/12/2015,5,5
705,44947,programmer 1,,0,'Orlando',5,11/5/2014,1,0
706,110054,director,951,1,'New York',1,9/21/2015,2,1
707,61734,analyst,461,1,'Orlando',4,3/25/2013,4,5
708,25988,office worker,234,1,'San Fran',2,9/30/2015,5,0
709,46624,programmer 1,,0,'San Fran',6,1/30/2014,4,3
710,102893,director,,0,'New York',3,6/24/2014,1,5
711,69140,analyst,,0,'New York',6,3/14/2013,1,5
712,31393,programmer 1,,0,'New York',4,7/28/2013,0,5
713,67104,analyst,603,1,'San Fran',6,7/11/2014,2,2
714,63931,analyst,,0,'Orlando',2,2/18/2014,0,5
715,61062,analyst,,0,'New York',2,7/1/2014,3,3
716,72661,analyst,159,1,'Orlando',3,5/9/2013,2,5
717,109999,director,,0,'New York',3,2/18/2013,0,1
718,21481,office worker,,0,'New Orleans',6,8/17/2015,5,3
719,71190,analyst,,0,'Orlando',6,7/25/2015,2,5
720,87107,sr. analyst,756,1,'New York',6,2/10/2014,3,4
721,119389,director,,0,'New Orleans',5,2/15/2014,0,4
722,112806,director,716,1,'New Orleans',3,9/26/2013,4,5
723,22314,office worker,,0,'New York',6,7/5/2013,1,4
724,47722,programmer 1,,0,'San Fran',2,6/25/2013,3,3
725,43235,programmer 1,,0,'San Fran',4,4/19/2015,1,0
726,85078,sr. analyst,,0,'Orlando',4,3/22/2013,2,1
727,98521,sr. analyst,357,1,'New York',2,7/25/2015,5,4
728,64586,analyst,,0,'Orlando',2,2/20/2015,0,2
729,109715,director,,0,'Orlando',6,3/29/2015,2,3
730,30327,programmer 1,5,1,'San Fran',1,1/20/2015,4,1
731,94032,sr. analyst,,0,'Orlando',5,1/20/2014,4,5
732,43158,programmer 1,,0,'Orlando',2,9/3/2013,5,3
733,86048,sr. analyst,,0,'New Orleans',1,3/19/2014,1,2
734,94362,sr. analyst,,0,'New Orleans',4,11/15/2015,2,1
735,27994,office worker,,0,'New York',3,3/3/2015,5,1
736,42372,programmer 1,747,1,'Orlando',2,7/20/2013,0,4
737,106167,director,,0,'New York',2,8/15/2014,5,0
738,27127,office worker,,0,'New Orleans',3,4/22/2015,2,5
739,83589,sr. analyst,322,1,'New Orleans',4,10/28/2013,5,2
740,70999,analyst,,0,'San Fran',5,7/28/2015,2,1
741,20939,office worker,95,1,'Orlando',3,11/13/2014,3,4
742,63638,analyst,,0,'San Fran',2,9/3/2015,5,4
743,56866,programmer 2,927,1,'New Orleans',4,3/31/2014,4,3
744,35468,programmer 1,,0,'New York',6,9/20/2013,2,2
745,71008,analyst,120,1,'New Orleans',5,1/10/2014,0,3
746,119222,director,592,1,'New Orleans',3,3/7/2015,5,0
747,61699,analyst,500,1,'Orlando',1,7/13/2013,2,3
748,47215,programmer 1,628,1,'Orlando',6,1/21/2014,2,4
749,109153,director,,0,'New York',4,1/25/2015,2,5
750,68518,analyst,,0,'New Orleans',2,4/3/2014,1,2
751,66986,analyst,,0,'San Fran',3,10/5/2014,4,1
752,76955,analyst,,0,'Orlando',2,10/29/2014,1,4
753,93372,sr. analyst,334,1,'Orlando',4,1/18/2014,3,5
754,43721,programmer 1,,0,'San Fran',4,11/16/2013,2,5
755,73987,analyst,,0,'New York',4,11/16/2013,3,5
756,73383,analyst,,0,'New Orleans',2,5/3/2014,3,5
757,38219,programmer 1,244,1,'New Orleans',3,10/14/2014,3,5
758,20013,office worker,,0,'San Fran',4,9/11/2013,2,5
759,85144,sr. analyst,115,1,'Orlando',3,12/7/2013,0,1
760,26013,office worker,39,1,'New Orleans',1,10/18/2014,2,5
761,35636,programmer 1,157,1,'Orlando',2,2/16/2014,0,3
762,48388,programmer 1,119,1,'Orlando',4,10/12/2013,4,1
763,47945,programmer 1,,0,'San Fran',6,4/7/2015,3,4
764,83102,sr. analyst,61,1,'New Orleans',6,1/26/2013,2,1
765,80389,sr. analyst,,0,'New Orleans',3,8/28/2015,5,4
766,114134,director,965,1,'Orlando',5,1/19/2013,4,4
767,87394,sr. analyst,,0,'New Orleans',1,8/28/2015,0,3
768,37542,programmer 1,,0,'New York',3,6/29/2014,3,2
769,75984,analyst,930,1,'New York',4,12/29/2014,5,2
770,77966,analyst,,0,'Orlando',3,7/9/2014,1,2
771,99656,sr. analyst,878,1,'Orlando',4,2/22/2015,2,3
772,103012,director,,0,'New York',6,11/1/2013,2,4
773,43562,programmer 1,,0,'Orlando',1,2/19/2013,2,0
774,101474,director,393,1,'San Fran',4,4/6/2015,3,1
775,81527,sr. analyst,935,1,'New York',6,11/24/2014,4,4
776,108473,director,59,1,'New York',5,2/26/2014,5,1
777,97017,sr. analyst,145,1,'San Fran',4,8/16/2015,2,4
778,100228,director,,0,'San Fran',2,3/23/2015,2,4
779,115255,director,,0,'Orlando',1,7/13/2013,5,0
780,41693,programmer 1,,0,'New Orleans',5,7/21/2014,4,5
781,50741,programmer 2,122,1,'Orlando',1,8/22/2013,4,4
782,113149,director,,0,'New Orleans',6,1/17/2014,4,1
783,85967,sr. analyst,141,1,'New York',3,11/24/2015,3,0
784,109415,director,16,1,'Orlando',3,9/1/2014,1,0
785,20281,office worker,,0,'New York',5,3/18/2014,2,2
786,117427,director,,0,'New York',2,9/13/2015,3,5
787,107557,director,247,1,'San Fran',4,1/21/2015,1,0
788,105581,director,153,1,'Orlando',1,7/28/2014,0,2
789,51364,programmer 2,,0,'Orlando',3,3/17/2015,2,4
790,28263,office worker,,0,'New York',2,8/6/2015,1,5
791,31598,programmer 1,,0,'New York',3,11/9/2014,2,4
792,79651,analyst,955,1,'New York',5,6/19/2015,0,5
793,82876,sr. analyst,,0,'San Fran',3,7/26/2014,3,3
794,61003,analyst,404,1,'San Fran',1,10/29/2013,3,0
795,109108,director,,0,'San Fran',6,6/23/2015,1,4
796,92351,sr. analyst,,0,'New York',2,6/25/2014,4,5
797,29674,office worker,,0,'San Fran',1,1/31/2015,3,4
798,118153,director,,0,'New Orleans',1,7/17/2014,0,0
799,97854,sr. analyst,768,1,'San Fran',5,4/30/2013,4,2
800,24105,office worker,,0,'New York',6,9/30/2015,1,3
801,111023,director,,0,'New Orleans',4,2/24/2013,0,1
802,113068,director,,0,'San Fran',1,7/29/2014,1,4
803,77875,analyst,425,1,'New Orleans',2,3/19/2014,4,4
804,61403,analyst,,0,'New York',2,6/16/2015,0,1
805,102918,director,892,1,'Orlando',5,4/20/2013,5,5
806,99733,sr. analyst,705,1,'New York',3,7/31/2014,1,5
807,98372,sr. analyst,,0,'New Orleans',5,4/12/2014,2,2
808,94638,sr. analyst,,0,'New Orleans',5,4/17/2014,1,4
809,99800,sr. analyst,678,1,'New York',3,3/11/2014,0,3
810,78990,analyst,,0,'Orlando',6,11/6/2013,0,4
811,98725,sr. analyst,889,1,'Orlando',2,4/15/2015,3,3
812,79624,analyst,896,1,'New York',4,3/21/2013,4,0
813,41086,programmer 1,603,1,'New Orleans',2,11/21/2015,4,0
814,57547,programmer 2,,0,'New Orleans',4,10/8/2014,3,1
815,21358,office worker,772,1,'New York',6,2/13/2013,4,2
816,34655,programmer 1,455,1,'San Fran',6,3/5/2014,5,3
817,41922,programmer 1,,0,'San Fran',2,10/30/2013,2,0
818,92573,sr. analyst,74,1,'New Orleans',3,2/4/2015,2,5
819,73507,analyst,,0,'New Orleans',6,1/23/2015,4,0
820,27056,office worker,,0,'New Orleans',1,6/11/2014,0,4
821,103891,director,966,1,'New Orleans',6,3/2/2013,4,5
822,55225,programmer 2,,0,'New York',2,8/5/2014,2,2
823,45211,programmer 1,,0,'Orlando',6,3/25/2013,5,5
824,101770,director,,0,'Orlando',4,8/26/2013,3,4
825,109110,director,958,1,'New York',6,4/27/2014,0,0
826,107435,director,368,1,'New York',3,1/6/2014,2,5
827,92524,sr. analyst,932,1,'New Orleans',3,11/7/2014,4,2
828,96316,sr. analyst,,0,'New York',5,12/13/2014,4,5
829,66438,analyst,641,1,'New York',1,12/3/2015,5,4
830,99989,sr. analyst,441,1,'New Orleans',6,5/12/2015,1,1
831,76170,analyst,489,1,'New York',2,3/9/2015,5,2
832,104858,director,864,1,'New Orleans',1,3/21/2014,0,4
833,90293,sr. analyst,,0,'New York',1,11/2/2015,1,5
834,22496,office worker,,0,'New Orleans',4,9/30/2015,4,5
835,66434,analyst,,0,'New York',3,10/29/2013,3,1
836,100491,director,,0,'New Orleans',4,10/8/2013,2,4
837,48533,programmer 1,,0,'Orlando',6,3/9/2015,1,4
838,31800,programmer 1,98,1,'New Orleans',4,1/25/2014,1,1
839,113379,director,757,1,'San Fran',2,11/5/2014,2,1
840,112733,director,,0,'San Fran',6,6/15/2013,0,2
841,106757,director,723,1,'New York',4,8/20/2014,3,2
842,112822,director,,0,'New Orleans',6,3/8/2015,0,4
843,30230,programmer 1,546,1,'New York',1,4/4/2015,5,0
844,95246,sr. analyst,242,1,'Orlando',3,8/31/2013,3,4
845,98570,sr. analyst,770,1,'Orlando',2,7/9/2015,1,1
846,65696,analyst,724,1,'New York',6,4/19/2013,1,2
847,58128,programmer 2,981,1,'New York',2,1/25/2013,5,3
848,38972,programmer 1,450,1,'New York',4,3/4/2015,4,4
849,71702,analyst,,0,'Orlando',4,4/30/2013,3,4
850,25245,office worker,875,1,'New York',2,1/31/2013,1,0
851,87090,sr. analyst,,0,'Orlando',6,1/26/2014,0,5
852,44013,programmer 1,620,1,'Orlando',2,4/11/2015,0,5
853,26422,office worker,,0,'New York',2,6/20/2015,1,3
854,59676,programmer 2,,0,'New Orleans',3,8/30/2014,4,4
855,67940,analyst,254,1,'New York',3,6/1/2015,1,1
856,49818,programmer 1,854,1,'New Orleans',6,2/5/2015,1,5
857,108878,director,582,1,'Orlando',1,5/3/2013,0,1
858,23999,office worker,,0,'San Fran',4,10/12/2013,3,1
859,114011,director,,0,'Orlando',2,3/24/2014,4,3
860,21353,office worker,,0,'New Orleans',6,3/20/2014,3,3
861,91966,sr. analyst,,0,'New York',5,10/24/2013,4,2
862,27995,office worker,,0,'Orlando',1,2/20/2014,2,4
863,52058,programmer 2,530,1,'New York',4,8/3/2015,3,2
864,69338,analyst,987,1,'Orlando',1,10/7/2013,2,4
865,59705,programmer 2,,0,'New York',1,11/23/2014,2,1
866,72307,analyst,,0,'San Fran',3,11/18/2013,2,3
867,66867,analyst,36,1,'Orlando',5,7/9/2015,3,0
868,57808,programmer 2,,0,'New Orleans',3,9/6/2015,5,4
869,118822,director,698,1,'New Orleans',4,7/23/2013,1,4
870,28603,office worker,,0,'San Fran',2,10/31/2015,1,2
871,104790,director,,0,'New York',5,2/6/2013,5,5
872,31735,programmer 1,736,1,'San Fran',1,8/10/2015,5,4
